Unnamed: 0,agencyId,surfaceLiving,numberRooms,city,advertisementId,geo,geoLocation,price,norm_price,neighborhood_price,realvalue,Lon,Lat,disco,kids
7258,ibaverk,80.0,2.5,Eglisau,106009275,6046,"8.5159999,47.5779582",600000.0,7500.0,7897.55663506,-0.351017194491,8.5159999,47.5779582,-1.22637350028,-1.09405932558
7260,x243chsky,103.0,3.5,Eglisau,106005891,6094,"8.5220840,47.5761690",750000.0,7281.55339806,7726.99259581,-0.344364806827,8.522084,47.576169,-1.22734632373,-1.09283780932
7262,n151,135.0,5.5,Eglisau,105882783,6055,"8.5180062,47.5734123",850000.0,6296.2962963,9708.47815781,0.0678086691321,8.5180062,47.5734123,-1.23177883932,-1.09851301642
7264,aii,175.0,6.5,Eglisau,105888791,6078,"8.5203718,47.5744571",950000.0,5428.57142857,7415.8972433,-0.130148463017,8.5203718,47.5744571,-1.22992477949,-1.09590462447
7265,interrem,162.0,,Eglisau,105645254,6039,"8.5149653,47.5749513",955000.0,5895.0617284,6634.46852425,-0.303523500228,8.5149653,47.5749513,-1.2304478983,-1.09832860857
7268,interrem,187.0,4.5,Eglisau,105645252,6039,"8.5149653,47.5749513",1145000.0,6122.99465241,6634.46852425,-0.335190522354,8.5149653,47.5749513,-1.2304478983,-1.09832860857
7269,x702,235.0,7.5,Eglisau,105799484,6094,"8.5220840,47.5761690",1430000.0,6085.10638298,7726.99259581,-0.178140843074,8.522084,47.576169,-1.22734632373,-1.09283780932
7270,x379,204.0,6.5,Eglisau,106004175,6094,"8.5220840,47.5761690",1575000.0,7720.58823529,7726.99259581,-0.405360496524,8.522084,47.576169,-1.22734632373,-1.09283780932
7276,x379ag,143.0,4.5,Egliswil,106001408,4584,"8.1855770,47.3495140",590000.0,4125.87412587,6849.10507288,-0.0279081912027,8.185577,47.349514,-1.33965569694,-1.36169326413
7277,h316,121.0,5.5,Egliswil,105964905,4584,"8.1855770,47.3495140",780000.0,6446.28099174,6849.10507288,-0.350285381251,8.185577,47.349514,-1.33965569694,-1.36169326413
7280,z048,205.0,7.5,Egliswil,105916609,4584,"8.1855770,47.3495140",1080000.0,5268.29268293,6849.10507288,-0.186625909936,8.185577,47.349514,-1.33965569694,-1.36169326413
7282,igda,108.0,4.5,Egolzwil,105136607,4023,"8.0117370,47.1846380",571000.0,5287.03703704,14608.5669657,0.888802199586,8.011737,47.184638,-1.27220385566,-1.36584433021
7283,hgoj,181.0,6.0,Egolzwil,105838062,4007,"8.0066914,47.1840514",750000.0,4143.64640884,6863.31273422,-0.028403428793,8.0066914,47.1840514,-1.26902456511,-1.36452270959
7285,e353mig,148.0,5.5,Egolzwil,105833384,4020,"8.0111360,47.1867697",895000.0,6047.2972973,10063.0051489,0.151657331916,8.011136,47.1867697,-1.27175123714,-1.36577695142
7286,gei,135.0,4.5,Egolzwil,105975780,4005,"8.0065240,47.1873489",900000.0,6666.66666667,8162.96323498,-0.198367804643,8.006524,47.1873489,-1.26879934244,-1.36460656304
7287,gei,135.0,4.5,Egolzwil,105975779,4005,"8.0065240,47.1873489",930000.0,6888.88888889,8162.96323498,-0.229241431428,8.006524,47.1873489,-1.26879934244,-1.36460656304
